country_code,name,region,sub-region
ABW,Aruba,Americas,Latin America and the Caribbean
AFG,Afghanistan,Asia,Southern Asia
AGO,Angola,Africa,Sub-Saharan Africa
AIA,Anguilla,Americas,Latin America and the Caribbean
ALA,Åland Islands,Europe,Northern Europe
ALB,Albania,Europe,Southern Europe
AND,Andorra,Europe,Southern Europe
ARE,United Arab Emirates,Asia,Western Asia
ARG,Argentina,Americas,Latin America and the Caribbean
ARM,Armenia,Asia,Western Asia
ASM,American Samoa,Oceania,Polynesia
ATF,French Southern Territories,Africa,Sub-Saharan Africa
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean
AUS,Australia,Oceania,Australia and New Zealand
AUT,Austria,Europe,Western Europe
AZE,Azerbaijan,Asia,Western Asia
BDI,Burundi,Africa,Sub-Saharan Africa
BEL,Belgium,Europe,Western Europe
BEN,Benin,Africa,Sub-Saharan Africa
BES,"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean
BFA,Burkina Faso,Africa,Sub-Saharan Africa
BGD,Bangladesh,Asia,Southern Asia
BGR,Bulgaria,Europe,Eastern Europe
BHR,Bahrain,Asia,Western Asia
BHS,Bahamas,Americas,Latin America and the Caribbean
BIH,Bosnia and Herzegovina,Europe,Southern Europe
BLM,Saint Barthélemy,Americas,Latin America and the Caribbean
BLR,Belarus,Europe,Eastern Europe
BLZ,Belize,Americas,Latin America and the Caribbean
BMU,Bermuda,Americas,Northern America
BOL,"Bolivia, Plurinational State of",Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Latin America and the Caribbean
BRB,Barbados,Americas,Latin America and the Caribbean
BRN,Brunei Darussalam,Asia,South-eastern Asia
BTN,Bhutan,Asia,Southern Asia
BVT,Bouvet Island,Americas,Latin America and the Caribbean
BWA,Botswana,Africa,Sub-Saharan Africa
CAF,Central African Republic,Africa,Sub-Saharan Africa
CAN,Canada,Americas,Northern America
CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
CHE,Switzerland,Europe,Western Europe
CHL,Chile,Americas,Latin America and the Caribbean
CHN,China,Asia,Eastern Asia
CIV,Côte d'Ivoire,Africa,Sub-Saharan Africa
CMR,Cameroon,Africa,Sub-Saharan Africa
COD,"Congo, Democratic Republic of the",Africa,Sub-Saharan Africa
COG,Congo,Africa,Sub-Saharan Africa
COK,Cook Islands,Oceania,Polynesia
COL,Colombia,Americas,Latin America and the Caribbean
COM,Comoros,Africa,Sub-Saharan Africa
CPV,Cabo Verde,Africa,Sub-Saharan Africa
CRI,Costa Rica,Americas,Latin America and the Caribbean
CUB,Cuba,Americas,Latin America and the Caribbean
CUW,Curaçao,Americas,Latin America and the Caribbean
CXR,Christmas Island,Oceania,Australia and New Zealand
CYM,Cayman Islands,Americas,Latin America and the Caribbean
CYP,Cyprus,Asia,Western Asia
CZE,Czechia,Europe,Eastern Europe
DEU,Germany,Europe,Western Europe
DJI,Djibouti,Africa,Sub-Saharan Africa
DMA,Dominica,Americas,Latin America and the Caribbean
DNK,Denmark,Europe,Northern Europe
DOM,Dominican Republic,Americas,Latin America and the Caribbean
DZA,Algeria,Africa,Northern Africa
ECU,Ecuador,Americas,Latin America and the Caribbean
EGY,Egypt,Africa,Northern Africa
ERI,Eritrea,Africa,Sub-Saharan Africa
ESH,Western Sahara,Africa,Northern Africa
ESP,Spain,Europe,Southern Europe
EST,Estonia,Europe,Northern Europe
ETH,Ethiopia,Africa,Sub-Saharan Africa
FIN,Finland,Europe,Northern Europe
FJI,Fiji,Oceania,Melanesia
FLK,Falkland Islands (Malvinas),Americas,Latin America and the Caribbean
FRA,France,Europe,Western Europe
FRO,Faroe Islands,Europe,Northern Europe
FSM,"Micronesia, Federated States of",Oceania,Micronesia
GAB,Gabon,Africa,Sub-Saharan Africa
GBR,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
GEO,Georgia,Asia,Western Asia
GGY,Guernsey,Europe,Northern Europe
GHA,Ghana,Africa,Sub-Saharan Africa
GIB,Gibraltar,Europe,Southern Europe
GIN,Guinea,Africa,Sub-Saharan Africa
GLP,Guadeloupe,Americas,Latin America and the Caribbean
GMB,Gambia,Africa,Sub-Saharan Africa
GNB,Guinea-Bissau,Africa,Sub-Saharan Africa
GNQ,Equatorial Guinea,Africa,Sub-Saharan Africa
GRC,Greece,Europe,Southern Europe
GRD,Grenada,Americas,Latin America and the Caribbean
GRL,Greenland,Americas,Northern America
GTM,Guatemala,Americas,Latin America and the Caribbean
GUF,French Guiana,Americas,Latin America and the Caribbean
GUM,Guam,Oceania,Micronesia
GUY,Guyana,Americas,Latin America and the Caribbean
HKG,Hong Kong,Asia,Eastern Asia
HMD,Heard Island and McDonald Islands,Oceania,Australia and New Zealand
HND,Honduras,Americas,Latin America and the Caribbean
HRV,Croatia,Europe,Southern Europe
HTI,Haiti,Americas,Latin America and the Caribbean
HUN,Hungary,Europe,Eastern Europe
IDN,Indonesia,Asia,South-eastern Asia
IMN,Isle of Man,Europe,Northern Europe
IND,India,Asia,Southern Asia
IOT,British Indian Ocean Territory,Africa,Sub-Saharan Africa
IRL,Ireland,Europe,Northern Europe
IRN,"Iran, Islamic Republic of",Asia,Southern Asia
IRQ,Iraq,Asia,Western Asia
ISL,Iceland,Europe,Northern Europe
ISR,Israel,Asia,Western Asia
ITA,Italy,Europe,Southern Europe
JAM,Jamaica,Americas,Latin America and the Caribbean
JEY,Jersey,Europe,Northern Europe
JOR,Jordan,Asia,Western Asia
JPN,Japan,Asia,Eastern Asia
KAZ,Kazakhstan,Asia,Central Asia
KEN,Kenya,Africa,Sub-Saharan Africa
KGZ,Kyrgyzstan,Asia,Central Asia
KHM,Cambodia,Asia,South-eastern Asia
KIR,Kiribati,Oceania,Micronesia
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean
KOR,"Korea, Republic of",Asia,Eastern Asia
KWT,Kuwait,Asia,Western Asia
LAO,Lao People's Democratic Republic,Asia,South-eastern Asia
LBN,Lebanon,Asia,Western Asia
LBR,Liberia,Africa,Sub-Saharan Africa
LBY,Libya,Africa,Northern Africa
LCA,Saint Lucia,Americas,Latin America and the Caribbean
LIE,Liechtenstein,Europe,Western Europe
LKA,Sri Lanka,Asia,Southern Asia
LSO,Lesotho,Africa,Sub-Saharan Africa
LTU,Lithuania,Europe,Northern Europe
LUX,Luxembourg,Europe,Western Europe
LVA,Latvia,Europe,Northern Europe
MAC,Macao,Asia,Eastern Asia
MAF,Saint Martin (French part),Americas,Latin America and the Caribbean
MAR,Morocco,Africa,Northern Africa
MCO,Monaco,Europe,Western Europe
MDA,"Moldova, Republic of",Europe,Eastern Europe
MDG,Madagascar,Africa,Sub-Saharan Africa
MDV,Maldives,Asia,Southern Asia
MEX,Mexico,Americas,Latin America and the Caribbean
MHL,Marshall Islands,Oceania,Micronesia
MKD,North Macedonia,Europe,Southern Europe
MLI,Mali,Africa,Sub-Saharan Africa
MLT,Malta,Europe,Southern Europe
MMR,Myanmar,Asia,South-eastern Asia
MNE,Montenegro,Europe,Southern Europe
MNG,Mongolia,Asia,Eastern Asia
MNP,Northern Mariana Islands,Oceania,Micronesia
MOZ,Mozambique,Africa,Sub-Saharan Africa
MRT,Mauritania,Africa,Sub-Saharan Africa
MSR,Montserrat,Americas,Latin America and the Caribbean
MTQ,Martinique,Americas,Latin America and the Caribbean
MUS,Mauritius,Africa,Sub-Saharan Africa
MWI,Malawi,Africa,Sub-Saharan Africa
MYS,Malaysia,Asia,South-eastern Asia
MYT,Mayotte,Africa,Sub-Saharan Africa
NAM,Namibia,Africa,Sub-Saharan Africa
NCL,New Caledonia,Oceania,Melanesia
NER,Niger,Africa,Sub-Saharan Africa
NFK,Norfolk Island,Oceania,Australia and New Zealand
NGA,Nigeria,Africa,Sub-Saharan Africa
NIC,Nicaragua,Americas,Latin America and the Caribbean
NIU,Niue,Oceania,Polynesia
NLD,"Netherlands, Kingdom of the",Europe,Western Europe
NOR,Norway,Europe,Northern Europe
NPL,Nepal,Asia,Southern Asia
NRU,Nauru,Oceania,Micronesia
NZL,New Zealand,Oceania,Australia and New Zealand
OMN,Oman,Asia,Western Asia
PAK,Pakistan,Asia,Southern Asia
PAN,Panama,Americas,Latin America and the Caribbean
PCN,Pitcairn,Oceania,Polynesia
PER,Peru,Americas,Latin America and the Caribbean
PHL,Philippines,Asia,South-eastern Asia
PLW,Palau,Oceania,Micronesia
PNG,Papua New Guinea,Oceania,Melanesia
POL,Poland,Europe,Eastern Europe
PRI,Puerto Rico,Americas,Latin America and the Caribbean
PRK,"Korea, Democratic People's Republic of",Asia,Eastern Asia
PRT,Portugal,Europe,Southern Europe
PRY,Paraguay,Americas,Latin America and the Caribbean
PSE,"Palestine, State of",Asia,Western Asia
PYF,French Polynesia,Oceania,Polynesia
QAT,Qatar,Asia,Western Asia
REU,Réunion,Africa,Sub-Saharan Africa
ROU,Romania,Europe,Eastern Europe
RUS,Russian Federation,Europe,Eastern Europe
RWA,Rwanda,Africa,Sub-Saharan Africa
SAU,Saudi Arabia,Asia,Western Asia
SDN,Sudan,Africa,Northern Africa
SEN,Senegal,Africa,Sub-Saharan Africa
SGP,Singapore,Asia,South-eastern Asia
SGS,South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa
SJM,Svalbard and Jan Mayen,Europe,Northern Europe
SLB,Solomon Islands,Oceania,Melanesia
SLE,Sierra Leone,Africa,Sub-Saharan Africa
SLV,El Salvador,Americas,Latin America and the Caribbean
SMR,San Marino,Europe,Southern Europe
SOM,Somalia,Africa,Sub-Saharan Africa
SPM,Saint Pierre and Miquelon,Americas,Northern America
SRB,Serbia,Europe,Southern Europe
SSD,South Sudan,Africa,Sub-Saharan Africa
STP,Sao Tome and Principe,Africa,Sub-Saharan Africa
SUR,Suriname,Americas,Latin America and the Caribbean
SVK,Slovakia,Europe,Eastern Europe
SVN,Slovenia,Europe,Southern Europe
SWE,Sweden,Europe,Northern Europe
SWZ,Eswatini,Africa,Sub-Saharan Africa
SXM,Sint Maarten (Dutch part),Americas,Latin America and the Caribbean
SYC,Seychelles,Africa,Sub-Saharan Africa
SYR,Syrian Arab Republic,Asia,Western Asia
TCA,Turks and Caicos Islands,Americas,Latin America and the Caribbean
TCD,Chad,Africa,Sub-Saharan Africa
TGO,Togo,Africa,Sub-Saharan Africa
THA,Thailand,Asia,South-eastern Asia
TJK,Tajikistan,Asia,Central Asia
TKL,Tokelau,Oceania,Polynesia
TKM,Turkmenistan,Asia,Central Asia
TLS,Timor-Leste,Asia,South-eastern Asia
TON,Tonga,Oceania,Polynesia
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean
TUN,Tunisia,Africa,Northern Africa
TUR,Türkiye,Asia,Western Asia
TUV,Tuvalu,Oceania,Polynesia
TZA,"Tanzania, United Republic of",Africa,Sub-Saharan Africa
UGA,Uganda,Africa,Sub-Saharan Africa
UKR,Ukraine,Europe,Eastern Europe
UMI,United States Minor Outlying Islands,Oceania,Micronesia
URY,Uruguay,Americas,Latin America and the Caribbean
USA,United States of America,Americas,Northern America
UZB,Uzbekistan,Asia,Central Asia
VAT,Holy See,Europe,Southern Europe
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean
VEN,"Venezuela, Bolivarian Republic of",Americas,Latin America and the Caribbean
VGB,Virgin Islands (British),Americas,Latin America and the Caribbean
VIR,Virgin Islands (U.S.),Americas,Latin America and the Caribbean
VNM,Viet Nam,Asia,South-eastern Asia
VUT,Vanuatu,Oceania,Melanesia
WLF,Wallis and Futuna,Oceania,Polynesia
WSM,Samoa,Oceania,Polynesia
YEM,Yemen,Asia,Western Asia
ZAF,South Africa,Africa,Sub-Saharan Africa
ZMB,Zambia,Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Sub-Saharan Africa
